State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
South Dakota,US,6/1/20 2:32,44.2998,-99.4388,4993,62,3837,1094,46,564.3982597,44128,432,1.241738434,84000046,USA,4988.136672,8.652112958
Tennessee,US,6/1/20 2:32,35.7478,-86.6923,22566,364,15300,6902,47,330.4352767,435977,1750,1.613046176,84000047,USA,6384.037074,7.755029691
Texas,US,6/1/20 2:32,31.0545,-97.5635,64652,1675,42423,20554,48,222.9696004,951865,,2.590793788,84000048,USA,3282.759368,
Utah,US,6/1/20 2:32,40.15,-111.8624,9797,113,6137,3547,49,305.5872847,213914,775,1.153414311,84000049,USA,6672.389345,7.910584873
Vermont,US,6/1/20 2:32,44.0459,-72.7107,981,55,873,53,50,157.2143099,33970,,5.606523955,84000050,USA,5444.006224,
Virgin Islands,US,6/1/20 2:32,18.3358,-64.8963,69,6,61,2,78,64.32486855,1702,,8.695652174,850,VIR,1586.680091,
Virginia,US,6/1/20 2:32,37.7693,-78.17,44607,1375,5868,37364,51,522.6044251,315391,7326,3.082475845,84000051,USA,3695.04186,16.4234313
Washington,US,6/1/20 2:32,47.4009,-121.4905,21702,1118,,20584,53,284.9941555,354354,3480,5.151598931,84000053,USA,4653.433738,16.03538844
West Virginia,US,6/1/20 2:32,38.4912,-80.9545,2010,75,1303,632,54,112.1559783,97622,,3.731343284,84000054,USA,5447.209409,
Wisconsin,US,6/1/20 2:32,44.2685,-89.6165,18403,592,11646,6165,55,316.0705643,268506,2583,3.216866815,84000055,USA,4611.576533,14.03575504
Wyoming,US,6/1/20 2:32,42.756,-107.3025,903,16,658,229,56,156.0234916,24393,85,1.771871539,84000056,USA,4214.707676,9.413067553
